rank,filename,year,journal,study_type,topics,importance,title
25,YousefiNojookambari_2024,2024,Microbiology spectrum,clinical,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|polymicrobial|epidemiology,75,"Sub-minimum inhibitory concentrations (sub-MICs) of colistin on Acinetobacter baumannii biofilm formation potency, adherence, and invasion to epithelial host cells: an experimental study in an Iranian"
26,MajidiFard_2025,2025,Iranian journal of pharmaceutical research : IJPR,clinical,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|natural_product,75,Investigation of Peppermint (Mentha piperita) Extract on the Inhibition of Biofilm Formation by Acinetobacter baumannii Strains Isolated from Clinical Samples.
27,Li_2025,2025,Microbiology spectrum,animal_model,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|natural_product|epidemiology,75,Indole derivatives display antimicrobial and antibiofilm effects against extensively drug-resistant Acinetobacter baumannii.
28,Zhang_2025,2025,Annals of clinical microbiology and antimicrobials,clinical,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|epidemiology,75,Understanding the clinical and molecular epidemiological characteristics of carbapenem-resistant Acinetobacter baumannii infections within intensive care units of three teaching hospitals.
29,Sharma_2025,2025,BMC microbiology,animal_model,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|iron_metabolism,75,Comparative study of phenotypic and genotypic expression of virulence factors in colonizing and pathogenic carbapenem resistant Acinetobacter baumannii (CRAB).
30,Jiang_2024_2,2024,Frontiers in cellular and infection microbiology,omics,biofilm|virulence_factors|antibiotic_resistance|phage_therapy,73,Characterization of a Straboviridae phage vB_AbaM-SHI and its inhibition effect on biofilms of Acinetobacter baumannii.
31,DudaMadej_2025,2025,"Pharmaceuticals (Basel, Switzerland)",review,qsi_discovery|quorum_quenching|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|nanoparticle|natural_product|epidemiology|review_synthesis,73,Exploring the Role of Berberine as a Molecular Disruptor in Antimicrobial Strategies.
32,Rajangam_2024,2024,Future microbiology,review,qsi_discovery|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|peptide_amp|vaccine_immune|iron_metabolism|epidemiology|review_synthesis,71,Current treatment strategies for targeting virulence factors and biofilm formation in Acinetobacter baumannii.
33,Hetta_2025,2025,"Pathogens (Basel, Switzerland)",review,qsi_discovery|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|nanoparticle|vaccine_immune|second_messenger|iron_metabolism|review_synthesis,71,Taming Superbugs: Current Progress and Challenges in Combating ESKAPE Pathogens.
34,Bhargava_2010,2010,Critical reviews in microbiology,in_vitro,quorum_quenching|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors,70,Quorum sensing in Acinetobacter: an emerging pathogen.
35,Stacy_2012,2012,Organic & biomolecular chemistry,methodology,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance,70,Synthesis and biological evaluation of triazole-containing N-acyl homoserine lactones as quorum sensing modulators.
36,Garner_2012,2012,PloS one,methodology,abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance,70,Stereochemical insignificance discovered in Acinetobacter baumannii quorum sensing.
37,Dong_2024,2024,Medicine,clinical,abaI_abaR_axis|ahl_chemistry|biofilm|antibiotic_resistance,70,Erythromycin disrupts Acinetobacter baumannii biofilms through destruction of the quorum sensing system.
38,Peleg_2008,2008,Proceedings of the National Academy of Sciences of the United States of America,in_vitro,qsi_discovery|biofilm|virulence_factors|polymicrobial,68,Prokaryote-eukaryote interactions identified by using Caenorhabditis elegans.
39,Tierney_2021,2021,Frontiers in cellular and infection microbiology,animal_model,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|gene_regulation,68,A LysR-Type Transcriptional Regulator Controls Multiple Phenotypes in Acinetobacter baumannii.
40,Escalante_2024_2,2024,Research square,omics,qsi_discovery|quorum_quenching|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|vaccine_immune|iron_metabolism,68,Carbapenem-resistant Acinetobacter baumannii (CRAB): metabolic adaptation and transcriptional response to human urine (HU).
41,Arazi_2025,2025,BMC microbiology,omics,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|epidemiology,68,Genomic and functional characterization of a novel lytic phage vB-AbaM-fThrA with anti-biofilm activity against CR-MDR Acinetobacter baumannii.
42,Venkateswaran_2023,2023,Frontiers in cellular and infection microbiology,review,qsi_discovery|abaI_abaR_axis|ahl_chemistry|biofilm|virulence_factors|antibiotic_resistance|phage_therapy|nanoparticle|natural_product|peptide_amp|drug_repurposing|vaccine_immune|iron_metabolism|epidemiology|review_synthesis,66,"Revisiting ESKAPE Pathogens: virulence, resistance, and combating strategies focusing on quorum sensing."
43,Niu_2008,2008,Journal of bacteriology,methodology,abaI_abaR_axis|ahl_chemistry|biofilm,65,Isolation and characterization of an autoinducer synthase from Acinetobacter baumannii.
44,Clemmer_2011,2011,"Microbiology (Reading, England)",in_vitro,abaI_abaR_axis|ahl_chemistry|virulence_factors|gene_regulation|vaccine_immune,65,Genetic analysis of surface motility in Acinetobacter baumannii.
45,Turton_2011,2011,Journal of clinical microbiology,other,abaI_abaR_axis|antibiotic_resistance|epidemiology,65,Use of the accessory genome for characterization and typing of Acinetobacter baumannii.
46,Sung_2012,2012,Annals of laboratory medicine,in_vitro,abaI_abaR_axis|antibiotic_resistance|epidemiology,65,"AbaR7, a genomic resistance island found in multidrug-resistant Acinetobacter baumannii isolates in Daejeon, Korea."
47,Liu_2024,2024,Infection and drug resistance,omics,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,65,Molecular Epidemiology and Genetic Characterization of Carbapenem-Resistant Acinetobacter baumannii Isolates from the ICU of a Tertiary Hospital in East China.
48,Jiang_2024,2024,International journal of biological macromolecules,animal_model,abaI_abaR_axis,65,The role of AbaI quorum sensing molecule synthase in host cell inflammation induced by Acinetobacter baumannii and its effect on zebrafish infection model.
49,Nghiem_2025,2025,Microbial genomics,omics,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,65,"Dominance of high-risk clones ST2 and ST571 and the diversity of resistance islands in clinical Acinetobacter baumannii isolates from Hanoi, Vietnam."
50,Wiradiputra_2025,2025,Current research in microbial sciences,omics,abaI_abaR_axis|biofilm|virulence_factors|antibiotic_resistance|gene_regulation|epidemiology,65,Genomic insights into biofilm-associated virulence in extensively drug-resistant Acinetobacter baumannii.
51,Rothong_2024,2024,PeerJ,animal_model,biofilm|antibiotic_resistance|phage_therapy|peptide_amp|vaccine_immune|epidemiology,63,Antimicrobial activity and synergistic effect of phage-encoded antimicrobial peptides with colistin and outer membrane permeabilizing agents against Acinetobacter baumannii.
52,Ribeiro_2024,2024,Microbial pathogenesis,review,qsi_discovery|biofilm|virulence_factors|natural_product|review_synthesis,63,Eugenol as a promising antibiofilm and anti-quorum sensing agent: A systematic review.
53,Li_2024,2024,Applied microbiology and biotechnology,animal_model,antibiotic_resistance|phage_therapy|vaccine_immune|epidemiology,63,A novel Saclayvirus Acinetobacter baumannii phage genomic analysis and effectiveness in preventing pneumonia.
54,deVilliersdelaNoue_2025,2025,Viruses,animal_model,virulence_factors|antibiotic_resistance|gene_regulation|phage_therapy|epidemiology,63,Rational Design of a Potent Two-Phage Cocktail Against a Contemporary Acinetobacter baumannii Strain Recovered from a Burned Patient at the Lausanne University Hospital.
55,Wheeler_2025,2025,Cells,methodology,qsi_discovery|ahl_chemistry|biofilm|virulence_factors|gene_regulation|polymicrobial,63,MvfR Shapes Pseudomonas aeruginosa Interactions in Polymicrobial Contexts: Implications for Targeted Quorum-Sensing Inhibition.
56,Khafagy_2025,2025,Drug development research,animal_model,qsi_discovery|biofilm|antibiotic_resistance|drug_repurposing,63,"Repurposing Nitroimidazoles: A New Frontier in Combatting Bacterial Virulence and Quorum Sensing via In Silico, In Vitro, and In Vivo Insights."
57,Post_2010,2010,The Journal of antimicrobial chemotherapy,other,abaI_abaR_axis|antibiotic_resistance,60,Evolution of AbaR-type genomic resistance islands in multiply antibiotic-resistant Acinetobacter baumannii.
58,Bonnin_2011,2011,The Journal of antimicrobial chemotherapy,other,abaI_abaR_axis,60,AbaR-type transposon structures in Acinetobacter baumannii.
59,Hamidian_2011,2011,The Journal of antimicrobial chemotherapy,in_silico,abaI_abaR_axis|antibiotic_resistance|epidemiology,60,AbaR4 replaces AbaR3 in a carbapenem-resistant Acinetobacter baumannii isolate belonging to global clone 1 from an Australian hospital.
60,Nigro_2012,2012,The Journal of antimicrobial chemotherapy,other,abaI_abaR_axis|antibiotic_resistance,60,"A novel family of genomic resistance islands, AbGRI2, contributing to aminoglycoside resistance in Acinetobacter baumannii isolates belonging to global clone 2."
